SN,Country,GDP
1, United States,"22,675,271"
2, China,"16,642,318"
3, Japan,"5,378,136"
4, Germany,"4,319,286"
5, India,"3,724,650"
7, France,"2,938,271"
8, Italy,"2,106,287"
9, Canada,"1,883,487"
10, South Korea,"1,806,707"
11, Russia,"1,710,734"
12, Australia,"1,617,543"
13, Brazil,"1,491,772"
14, Spain,"1,461,552"
15, Mexico,"1,192,480"
16, Indonesia,"1,158,783"
17, Netherlands,"1,012,598"
18,  Switzerland,"824,734"
19, Saudi Arabia,"804,921"
20, Turkey,"794,530"
21, Taiwan (ROC),"759,104"
21, Iran,"682,859"
22, Poland,"642,121"
23, Sweden,"625,948"
24, Philippines,"578,996"
25, Thailand,"538,735"
26, Nigeria,"514,049"
27, Austria,"481,796"
28, Ireland,"476,663"
29, Israel,"446,708"
30, Norway,"444,519"
31, Argentina,"418,150"
32, Belgium,"402,638"
33, United Arab Emirates,"401,513"
34, Egypt,"394,284"
35, Denmark,"392,570"
36, Malaysia,"387,093"
37, Singapore,374.394
38, Hong Kong (PRC),"368,633"
38, Vietnam,"354,868"
39, Bangladesh,"352,908"
40, South Africa,"329,529"
41, Chile,"307,938"
42, Finland,"300,484"
43, Colombia,"295,610"
44, Romania,"289,130"
45, Czech Republic,"276,109"
46, Pakistan (2020),"262,799"
47, Portugal,"257,391"
48, New Zealand,"243,332"
49, Peru,"225,918"
50, Greece,"209,857"
51, Iraq,"190,733"
52, Kazakhstan,"187,836"
53, Hungary,"176,543"
54, Qatar,"166,031"
55, Ukraine,"164,593"
56, Algeria,"151,459"
57, Kuwait,"126,930"
58, Morocco,"124,003"
59, Slovakia,"117,664"
60, Kenya,"106,041"
61, Puerto Rico,"100,684"
62, Ecuador,"100,595"
63, Ethiopia,"93,966"
64, Sri Lanka,"84,532"
65, Luxembourg,"84,077"
66, Dominican Republic,"83,917"
67, Guatemala,"81,402"
68, Bulgaria,"77,782"
69, Myanmar,"76,195"
70, Ghana,"74,260"
71, Oman,"74,115"
72, Ivory Coast,"70,991"
73, Angola,"66,493"
74, Tanzania,"65,919"
75, Croatia,"65,217"
76, Lithuania,"62,198"
77, Uzbekistan,"61,203"
78, Costa Rica,"61,178"
79, Belarus,"60,725"
80, Serbia,"60,435"
81, Syria (2010),"60,043"
82, Panama,"59,377"
83, Slovenia,"59,132"
84, Uruguay,"55,459"
85, Democratic Republic of the Congo,"55,088"
86, Turkmenistan,"54,218"
87, Azerbaijan,"49,914"
88, Jordan,"44,979"
89, Cameroon,"44,893"
90, Tunisia,"44,265"
91, Bolivia,"43,110"
92, Venezuela,"42,530"
93, Uganda,"41,271"
94, Macau (PRC),"39,449"
95, Paraguay,"37,836"
96, Latvia,"37,720"
97, Bahrain,"37,503"
98,   Nepal,"36,084"
99, Sudan,"35,827"
100, Estonia,"35,187"
101, Senegal,"27,927"
102, Cambodia,"27,239"
103, Cyprus,"26,479"
104, El Salvador,"26,277"
105, Honduras,"26,161"
106, Zimbabwe,"26,085"
107, Yemen,"25,095"
108, Papua New Guinea,"24,536"
109, Libya,"24,267"
110, Iceland,"24,155"
111, Haiti,"22,431"
112, Trinidad and Tobago,"22,161"
113, Bosnia and Herzegovina,"21,953"
114, Laos,"20,440"
115, Afghanistan,"19,938"
116, Mali,"19,912"
117, Lebanon (2020),"19,126"
118, Zambia,"18,955"
119, Burkina Faso,"18,853"
120, Botswana,"18,726"
121, Gabon,"18,362"
122, Benin,"17,327"
123, Albania,"17,138"
124, Palestine,"16,481"
125, Malta,"16,476"
126, Guinea,"16,339"
127, Georgia,"16,163"
128, Niger,"15,899"
129, Brunei,"15,278"
130, Madagascar,"14,746"
131, Jamaica,"14,600"
132, Mongolia,"14,233"
133, Mozambique,"13,957"
134, North Macedonia,"13,821"
135, Chad,"12,531"
136, Nicaragua,"12,283"
137, Armenia,"12,251"
138, Mauritius,"12,212"
139, Republic of the Congo,"12,022"
140, Moldova,"11,998"
141, Equatorial Guinea,"11,726"
142, Bahamas,"11,706"
143, Namibia,"11,381"
144, Rwanda,"10,633"
145, Malawi,"9,268"
146, Mauritania,"9,239"
147, Kosovo,"8,810"
148, Togo,"8,627"
149, Tajikistan,"7,825"
150, Kyrgyzstan,"7,470"
151, Guyana,"7,255"
152, Montenegro,"5,651"
153, Somalia,"5,367"
154, Barbados,"4,628"
155, Fiji,"4,586"
156, Maldives,"4,536"
157, South Sudan,"4,461"
158, Sierra Leone,"4,420"
159, Swaziland,"4,226"
160, Djibouti,"3,663"
161, Liberia,"3,370"
162, Burundi,"3,244"
163, Central African Republic,"2,718"
164, Aruba,"2,582"
165, Bhutan,"2,480"
166, Suriname,"2,465"
167, Lesotho,"2,458"
168, Eritrea,"2,250"
169, Gambia,"2,078"
170, Cape Verde,"2,003"
171, Saint Lucia,"1,787"
172, Timor-Leste,"1,726"
173, Belize,"1,700"
174, San Marino,"1,688"
175, Guinea-Bissau,"1,647"
176, Solomon Islands,"1,644"
177, Antigua and Barbuda,"1,376"
178, Comoros,"1,309"
179, Grenada,"1,041"
180, Seychelles,948
181, Vanuatu,912
182, Saint Kitts and Nevis,831
183, Saint Vincent and the Grenadines,798
184, Samoa,752
185, Dominica,523
186, Tonga,508
187, Sao Tome,485
188, Federated States of Micronesia,401
189, Marshall Islands,234
190, Kiribati,231
191, Palau,229
192, Nauru,133
193, Tuvalu,57
